Dataset,Weight File,Patch Size,Overlap,Accuracy,F1 Score - Macro,F1 Score - Weighted
Validation,53_Final_time2024-12-05_best_5e_acc95.pth,144,0.0,0.4418430536982124,0.3246312594868634,0.4601683584899903
Test,53_Final_time2024-12-05_best_5e_acc95.pth,144,0.0,0.39132546987416367,0.3094591511301721,0.40396400732208015
Validation,53_Final_time2024-12-05_best_5e_acc95.pth,184,0.0,0.5094808277995896,0.3860545008419787,0.5036568018765801
Test,53_Final_time2024-12-05_best_5e_acc95.pth,184,0.0,0.4703773170027305,0.3736531091267363,0.47265981137931234
Validation,53_Final_time2024-12-05_best_5e_acc95.pth,256,0.0,0.5206136295938084,0.4071164142820687,0.5063021731119948
Test,53_Final_time2024-12-05_best_5e_acc95.pth,256,0.0,0.45685127046373153,0.3615286617124322,0.4456641735654468
Validation,53_Final_time2024-12-05_best_5e_acc95.pth,320,0.0,0.5071325973409306,0.3952552813294149,0.4907679003483016
Test,53_Final_time2024-12-05_best_5e_acc95.pth,320,0.0,0.44304829161844134,0.33980235817199217,0.4267883925195506
